0 1 16 1854 0
1 2 16 1186 3
0 0 16 1286 1
1 1 16 1050 4
0 2 16 1472 0
1 0 16 862 3
0 1 16 1396 1
1 2 16 728 4
0 0 16 1208 0
1 1 16 756 3
0 2 16 1426 1
1 0 16 910 4
0 1 16 1520 0
1 2 16 762 3
0 0 16 1138 1
1 1 16 814 4
0 2 16 1396 0
1 0 16 826 3
0 1 16 1356 1
1 2 16 762 4
0 0 16 1056 0
1 1 16 638 3
0 2 16 816 1
1 0 16 486 4
0 1 16 722 0
1 2 16 528 3
0 0 16 716 1
1 1 16 516 4
0 2 16 722 0
1 0 16 476 3
0 1 16 704 1
1 2 16 498 4
0 0 16 716 0
1 1 16 516 3
0 2 16 738 1
1 0 16 470 4
0 1 16 698 0
1 2 16 486 3
0 0 16 716 1
1 1 16 464 4
0 2 16 774 0
1 0 16 480 3
0 1 16 698 1
1 2 16 492 4
0 0 16 716 0
1 1 16 446 3
0 2 16 728 1
1 0 16 470 4
0 1 16 710 0
1 2 16 482 3
0 0 16 716 1
1 1 16 464 4
0 2 16 728 0
1 0 16 504 3
0 1 16 716 1
1 2 16 488 4
0 0 16 710 0
1 1 16 446 3
0 2 16 738 1
1 0 16 498 4
0 1 16 826 0
1 2 16 498 3
0 0 16 722 1
1 1 16 456 4
0 2 16 734 0
1 0 16 498 3
0 1 16 726 1
1 2 16 498 4
0 0 16 738 0
1 1 16 446 3
0 2 16 728 1
1 0 16 494 4
0 1 16 710 0
1 2 16 482 3
0 0 16 716 1
1 1 16 464 4
0 2 16 728 0
1 0 16 498 3
0 1 16 720 1
1 2 16 488 4
0 0 16 704 0
1 1 16 446 3
0 2 16 734 1
1 0 16 498 4
0 1 16 726 0
1 2 16 498 3
0 0 16 710 1
1 1 16 452 4
0 2 16 722 0
1 0 16 488 3
0 1 16 732 1
1 2 16 498 4
0 0 16 710 0
1 1 16 446 3
0 2 16 738 1
1 0 16 746 4
0 1 16 704 0
1 2 16 488 3
0 0 16 710 1
1 1 16 446 4
0 2 16 722 0
1 0 16 498 3
0 1 16 732 1
1 2 16 510 4
0 0 16 732 0
1 1 16 462 3
0 2 16 728 1
1 0 16 498 4
0 1 16 710 0
1 2 16 498 3
